date,open,high,close,low,volume,amount
2015-09-22,9.13,9.85,9.68,9.01,26626636.0,239517072.0
2015-09-21,8.58,9.12,9.1,8.48,12611673.0,106936720.0
2015-09-18,8.61,8.8,8.71,8.41,9995473.0,82228552.0
2015-09-17,8.62,9.08,8.5,8.49,17853072.0,150323264.0
2015-09-16,8.03,8.61,8.61,7.83,12304444.0,96405184.0
2015-09-15,8.16,8.54,7.82,7.7,10929540.0,84114528.0
2015-09-14,9.32,9.37,8.25,8.24,15619825.0,130369952.0
2015-09-11,8.93,9.19,9.15,8.88,10105614.0,87110760.0
2015-09-10,9.01,9.22,8.87,8.84,10918277.0,94363432.0
2015-09-09,9.08,9.4,9.22,8.95,18112896.0,158800032.0
2015-09-08,8.34,8.98,8.92,8.2,12810115.0,104958416.0
2015-09-07,8.22,8.56,8.34,8.2,13106935.0,105127176.0
2015-09-02,7.66,8.66,8.05,7.66,16543832.0,128798080.0
2015-09-01,8.82,9.11,8.2,8.08,18062528.0,147232176.0
2015-08-31,9.34,9.34,8.88,8.83,16456803.0,141015296.0
2015-08-28,8.84,9.4,9.39,8.56,22623938.0,192643152.0
2015-08-27,8.4,8.63,8.58,7.87,25656682.0,203641680.0
2015-08-26,8.93,9.41,8.1,8.1,29900186.0,247506032.0
2015-08-25,9.01,9.33,9.01,9.01,14032923.0,120977216.0
2015-08-24,10.06,10.59,10.0,10.0,10960188.0,105335584.0
2015-08-21,11.84,11.96,11.12,11.01,27668092.0,301653088.0
2015-08-20,12.44,12.76,12.16,11.76,26257934.0,306408704.0
2015-08-19,11.75,13.03,12.72,11.26,34528184.0,397190400.0
2015-08-18,13.84,14.12,12.5,12.5,38078752.0,481176928.0
2015-08-17,13.52,14.29,13.89,13.42,38074448.0,501851744.0
2015-08-14,13.3,14.17,13.6,13.09,44921428.0,582534208.0
2015-08-13,11.97,13.26,13.23,11.83,39473560.0,470314880.0
2015-08-12,11.76,12.49,12.11,11.59,33477692.0,387348992.0
2015-08-11,12.07,12.38,11.92,11.8,41062132.0,472303456.0
2015-08-10,11.03,11.86,11.73,10.92,33413636.0,365088960.0
2015-08-07,10.58,10.87,10.84,10.49,19749854.0,202181104.0
2015-08-06,10.35,10.63,10.4,10.19,12241546.0,121693440.0
2015-08-05,10.92,11.02,10.58,10.42,21490452.0,219912592.0
2015-08-04,10.08,10.91,10.89,10.02,20118056.0,200536384.0
2015-08-03,10.5,10.5,9.98,9.63,17001258.0,162457824.0
2015-07-31,10.59,10.92,10.5,10.27,18271278.0,185340496.0
2015-07-30,10.71,11.39,10.82,10.51,32911550.0,347418368.0
2015-07-29,10.24,10.84,10.82,9.69,24619832.0,238655760.0
2015-07-28,9.66,10.66,9.86,9.46,27630530.0,261009616.0
2015-07-27,11.23,11.86,10.39,10.39,30435576.0,325340288.0
2015-07-24,12.03,12.49,11.55,11.41,33615360.0,384479040.0
2015-07-23,11.64,12.0,11.86,11.53,27929338.0,313983360.0
2015-07-22,11.5,11.88,11.63,11.14,39081372.0,427352608.0
2015-07-21,10.69,11.94,11.7,10.51,42557568.0,461408064.0
2015-07-20,10.91,11.24,10.86,10.56,26858234.0,279140352.0
2015-07-17,10.34,10.99,10.86,10.18,25510408.0,258006880.0
2015-07-16,9.34,10.34,10.13,8.92,24495574.0,229717744.0
2015-07-15,10.46,10.7,9.71,9.71,32555028.0,311867264.0
2015-07-14,10.66,11.42,10.79,10.44,50029960.0,520299072.0
2015-07-13,10.5,10.51,10.51,9.93,35378084.0,349554464.0
