date,open,high,close,low,volume,amount
2015-07-01,11.06,11.69,10.8,10.6,10163688.0,308984864.0
2015-06-30,9.65,11.08,11.08,9.07,13160965.0,358770912.0
2015-06-29,11.58,11.58,10.07,10.07,6965968.0,192263888.0
2015-06-26,12.14,12.62,11.19,11.19,6190871.0,189458448.0
2015-06-25,12.95,12.95,12.43,12.13,4868386.0,163681968.0
2015-06-24,12.72,13.18,12.95,12.25,6481003.0,222972352.0
2015-06-23,12.62,12.81,12.72,11.35,6239060.0,205761392.0
2015-06-19,13.43,13.72,12.62,12.47,6437643.0,228126656.0
2015-06-18,13.73,14.35,13.8,13.55,8045653.0,301407424.0
2015-06-17,13.42,14.06,13.92,12.25,9299648.0,332181920.0
2015-06-16,14.85,14.85,13.42,13.42,12381548.0,458243520.0
2015-06-15,15.6,15.82,14.9,14.85,9191483.0,375174592.0
2015-06-12,15.59,15.88,15.6,15.2,8925278.0,370522112.0
2015-06-11,15.96,16.29,15.78,15.4,10197021.0,433271552.0
2015-06-10,15.11,16.84,16.17,14.85,14680034.0,628721856.0
2015-06-09,14.74,15.48,15.32,14.73,7628027.0,311016000.0
2015-06-08,16.11,16.11,15.33,14.51,11984382.0,485635392.0
2015-06-05,16.3,16.65,16.11,15.73,7434753.0,322959712.0
2015-06-04,16.52,17.33,16.1,15.02,7277318.0,313864000.0
2015-06-03,18.02,18.04,16.69,16.52,10112546.0,462082624.0
2015-06-02,16.17,17.76,17.76,16.17,11269020.0,526461056.0
2015-06-01,15.25,16.33,16.14,15.03,8490311.0,358702272.0
2015-05-29,14.55,15.5,14.9,13.88,7439282.0,298672896.0
2015-05-28,14.41,15.85,14.53,14.22,11730983.0,477725280.0
2015-05-27,14.63,14.77,14.41,14.03,9427334.0,363005408.0
2015-05-26,14.48,14.77,14.7,14.11,8024252.0,311162432.0
2015-05-25,13.73,15.2,14.1,13.73,11743108.0,448459168.0
2015-05-22,13.72,14.51,14.48,13.53,16801712.0,641066496.0
2015-05-21,12.18,13.19,13.19,12.18,10048500.0,348113344.0
2015-05-20,12.25,12.69,11.99,11.81,9593137.0,316212992.0
2015-05-19,12.08,12.45,11.87,11.51,7640610.0,243831008.0
2015-05-18,12.45,12.58,12.14,11.95,7093911.0,234457008.0
2015-05-15,11.73,12.37,12.12,11.06,8127945.0,259823984.0
2015-05-14,11.88,12.55,11.8,11.47,7478219.0,239240960.0
