date,open,high,close,low,volume,amount
2015-12-31,29.16,29.21,28.49,28.49,5397977.0,97750208.0
2015-12-30,29.09,29.25,28.98,28.78,6767928.0,123368008.0
2015-12-29,28.59,29.05,29.03,28.59,6396380.0,115912712.0
2015-12-28,28.94,29.4,28.57,28.43,10770681.0,195304592.0
2015-12-25,28.51,29.06,28.7,28.47,5677675.0,102655840.0
2015-12-24,28.16,28.79,28.63,28.04,8316504.0,148762224.0
2015-12-23,29.09,29.24,28.22,28.17,9720415.0,175035584.0
2015-12-22,29.37,29.41,29.02,28.7,8061107.0,146570608.0
2015-12-21,28.65,29.59,29.25,28.65,10968182.0,201718368.0
2015-12-18,28.49,28.89,28.57,28.24,8858559.0,158714976.0
2015-12-17,27.93,29.0,28.68,27.9,11907910.0,213890960.0
2015-12-16,27.71,27.92,27.61,27.42,7067101.0,122676408.0
2015-12-15,27.98,28.41,27.49,27.38,14864789.0,259648560.0
2015-12-14,25.7,27.14,27.14,25.59,6380075.0,107713632.0
2015-12-11,26.17,26.2,25.85,25.77,5236739.0,85281592.0
2015-12-10,26.34,26.69,26.28,26.28,5303232.0,88118528.0
2015-12-09,26.33,26.71,26.42,26.31,6387585.0,106347680.0
2015-12-08,27.07,27.19,26.44,26.44,8748902.0,146829296.0
2015-12-07,26.56,27.26,27.03,26.55,12159999.0,205979648.0
2015-12-04,25.85,26.5,26.28,25.74,9403691.0,154851696.0
2015-12-03,25.78,25.98,25.96,25.47,7071614.0,114618176.0
2015-12-02,25.61,25.86,25.74,25.23,6395108.0,102788128.0
2015-12-01,25.21,25.86,25.69,24.88,8244756.0,131991952.0
2015-11-30,25.7,26.15,25.28,24.49,15204343.0,241370096.0
2015-11-27,26.66,27.49,25.78,25.51,15739996.0,263515648.0
2015-11-26,27.06,27.22,26.72,26.72,9127510.0,154702752.0
2015-11-25,26.87,27.34,27.03,26.72,10422532.0,177279856.0
2015-11-24,26.71,26.85,26.8,26.39,8533522.0,142539216.0
2015-11-23,26.53,27.22,26.77,26.28,13184179.0,221851728.0
2015-11-20,26.1,26.53,26.39,26.02,9492804.0,156978832.0
2015-11-19,25.96,26.09,26.09,25.72,6740608.0,109716640.0
2015-11-18,26.09,26.36,25.9,25.86,7489029.0,123021936.0
2015-11-17,26.87,26.88,26.1,26.09,11862439.0,197326848.0
