date,open,high,close,low,volume,amount
2015-12-31,60.43,62.85,61.58,60.2,10770607.0,207605625.0
2015-12-30,59.63,61.67,60.39,59.59,7641653.0,145713205.0
2015-12-29,58.83,60.33,59.95,58.38,5057761.0,93464716.0
2015-12-28,60.65,61.51,59.18,58.48,7440582.0,140168936.0
2015-12-25,60.71,61.67,60.07,59.79,5351100.0,101772555.0
2015-12-24,59.95,60.97,60.9,59.43,7802326.0,147033168.0
2015-12-23,60.55,60.87,60.07,59.91,7840769.0,148337776.0
2015-12-22,61.06,61.19,60.49,59.43,9978067.0,188001409.0
2015-12-21,57.45,62.31,61.51,57.1,21046584.0,398403200.0
2015-12-18,54.58,58.89,58.09,54.55,14088349.0,252050160.0
2015-12-17,54.32,55.38,55.02,54.16,4903267.0,84445952.0
2015-12-16,54.48,54.67,54.0,53.84,2513504.0,42693904.0
2015-12-15,53.68,54.58,54.03,53.56,3086126.0,52221256.0
2015-12-14,52.34,54.32,53.84,51.51,5744545.0,94973816.0
2015-12-11,52.85,53.2,52.82,52.09,3410337.0,56071216.0
2015-12-10,53.62,54.1,53.27,53.04,2313812.0,38789036.0
2015-12-09,53.2,54.16,53.52,53.04,2483772.0,41630043.0
2015-12-08,54.93,54.96,53.3,53.24,2876232.0,48596452.0
2015-12-07,54.83,55.79,55.06,54.58,2890860.0,49885425.0
2015-12-04,55.6,55.6,54.71,54.32,3589882.0,61707452.0
2015-12-03,55.44,55.98,55.89,55.12,4109060.0,71557133.0
2015-12-02,54.16,55.92,55.82,53.68,6634431.0,114195920.0
2015-12-01,53.17,54.8,54.48,52.4,4229926.0,71245921.0
2015-11-30,53.94,54.55,53.01,51.32,4334558.0,71661264.0
2015-11-27,57.39,57.52,53.84,53.04,5920326.0,102752608.0
2015-11-26,58.32,58.32,57.55,57.45,3443972.0,62342832.0
2015-11-25,57.55,58.44,58.28,57.13,5223815.0,94588904.0
2015-11-24,57.68,57.74,57.55,56.65,3400213.0,60722776.0
2015-11-23,57.07,58.99,57.58,56.91,7347039.0,133344360.0
2015-11-20,56.72,57.39,57.07,56.49,3850603.0,68654856.0
2015-11-19,56.4,56.78,56.75,55.92,2301696.0,40620996.0
2015-11-18,57.2,57.23,55.82,55.63,2605655.0,46104964.0
2015-11-17,56.78,57.87,56.62,56.43,5309662.0,94826688.0
2015-11-16,55.38,56.75,56.72,55.06,3636003.0,63817500.0
2015-11-13,57.13,57.23,56.18,55.95,5657862.0,100307632.0
2015-11-12,58.22,58.44,57.64,57.2,5421751.0,97927736.0
2015-11-11,58.12,58.64,58.22,57.55,7173080.0,130269392.0
2015-11-10,57.93,58.67,57.9,57.52,7137719.0,129767536.0
2015-11-09,57.52,59.05,58.48,57.52,9110351.0,166146336.0
2015-11-06,57.84,58.67,58.41,57.61,7578861.0,138056400.0
2015-11-05,58.32,59.27,58.09,57.39,12316649.0,224702848.0
2015-11-04,56.75,58.67,58.38,56.56,11439136.0,206501952.0
2015-11-03,56.43,57.13,56.56,55.92,4116222.0,72727216.0
2015-11-02,55.28,57.71,56.59,55.02,6819881.0,120931880.0
2015-10-30,56.18,57.26,55.73,55.12,5835572.0,102841656.0
2015-10-29,55.44,56.56,56.02,54.74,5952619.0,104015120.0
2015-10-28,56.4,57.42,54.99,54.96,6488227.0,114112936.0
2015-10-27,56.75,57.13,56.56,55.02,9058740.0,159079472.0
2015-10-26,56.18,57.84,57.61,55.28,16408366.0,290100992.0
2015-10-23,53.11,58.16,56.75,53.11,21358476.0,370527168.0
2015-10-22,52.31,53.17,53.11,51.32,8381473.0,137032464.0
2015-10-21,53.55,53.71,51.8,50.93,9668459.0,158863152.0
2015-10-20,51.67,53.94,53.75,51.61,12727257.0,210319520.0
2015-10-19,52.92,53.2,51.77,51.19,9347347.0,152628448.0
2015-10-16,52.88,53.78,52.88,52.4,9642215.0,160007040.0
2015-10-15,51.61,52.5,52.47,51.29,4570129.0,74522680.0
