date,open,high,close,low,volume,amount
2015-12-31,32.95,33.81,33.02,32.47,5054975.0,148599552.0
2015-12-30,31.99,33.37,32.96,31.57,5667238.0,164219856.0
2015-12-29,31.86,32.64,32.31,30.43,10821828.0,299951296.0
2015-12-28,33.76,34.0,32.03,32.03,12421452.0,358852000.0
2015-12-25,33.82,34.64,33.72,32.64,5405007.0,161638240.0
2015-12-24,34.94,35.45,33.75,33.68,10815634.0,324955520.0
2015-12-23,35.22,37.07,35.45,35.22,7577557.0,245218448.0
2015-12-22,35.26,36.52,35.31,34.66,6919742.0,218068624.0
2015-12-21,35.73,35.73,35.7,34.05,12845170.0,406557952.0
2015-12-18,34.03,34.03,34.03,34.03,477465.0,14438542.0
2015-12-10,32.68,33.26,32.41,32.19,3433661.0,99330432.0
2015-12-09,31.45,33.04,32.68,31.15,6651377.0,191583632.0
2015-12-08,32.64,33.74,31.85,31.51,12170877.0,356619264.0
2015-12-07,31.84,32.66,32.66,31.11,10391202.0,295615584.0
2015-12-04,29.37,31.11,31.11,29.37,11298794.0,307280928.0
2015-12-03,29.26,30.27,29.62,28.81,8250878.0,218248144.0
2015-12-02,30.88,30.88,29.13,29.13,13424463.0,350217248.0
2015-12-01,29.49,31.34,30.66,29.46,10516984.0,286741280.0
2015-11-30,29.69,31.15,30.15,29.44,22560406.0,613667264.0
2015-11-27,28.36,29.67,29.67,28.13,22561328.0,590019264.0
2015-11-26,28.25,29.24,28.25,27.58,12423528.0,313826080.0
2015-11-25,27.12,28.28,27.93,26.78,11098752.0,271293728.0
2015-11-24,28.15,28.35,26.93,26.93,11661132.0,281705600.0
2015-11-23,28.15,29.17,28.35,27.71,13890218.0,353796544.0
2015-11-20,27.57,28.33,27.79,27.09,9955514.0,244062608.0
2015-11-19,29.37,29.37,27.71,27.01,19439910.0,487950368.0
2015-11-18,27.36,28.11,28.11,27.07,9505106.0,235354512.0
2015-11-17,26.11,26.77,26.77,25.41,27021560.0,627700992.0
2015-11-16,25.5,25.5,25.5,23.07,39548296.0,866179648.0
2015-11-13,24.29,24.29,24.29,24.29,651643.0,14062456.0
2015-11-12,23.13,23.13,23.13,23.13,2902522.0,59646828.0
2015-01-26,22.19,22.28,22.02,21.68,4819233.0,94358624.0
2015-01-23,21.95,22.36,21.99,21.52,8418241.0,164887712.0
2015-01-22,20.49,21.52,21.52,20.47,6327589.0,118400672.0
2015-01-21,20.16,20.58,20.49,20.14,4565153.0,82742656.0
2015-01-20,19.72,20.13,20.09,19.72,4028439.0,71330960.0
2015-01-19,19.9,20.32,19.66,19.48,4545253.0,80330560.0
2015-01-16,20.25,20.32,20.1,20.02,3580035.0,63967736.0
2015-01-15,20.19,20.41,20.16,20.05,1776826.0,31908434.0
2015-01-14,20.04,20.46,20.07,19.92,2164123.0,38881208.0
2015-01-13,19.83,20.28,20.03,19.53,2271964.0,40164716.0
2015-01-12,20.27,20.63,19.93,19.55,3313373.0,58850152.0
2015-01-09,20.43,20.62,20.31,20.31,1620587.0,29404566.0
2015-01-08,20.41,20.8,20.43,20.32,2892610.0,52751408.0
2015-01-07,20.07,20.57,20.44,20.07,2591258.0,46952972.0
2015-01-06,19.62,20.31,20.11,19.62,3087754.0,54990168.0
2015-01-05,20.04,20.09,19.62,19.39,3083673.0,53733068.0
2014-12-31,19.68,20.09,20.03,19.68,1466694.0,26005698.0
2014-12-30,19.81,20.02,19.63,19.54,2107038.0,36947352.0
2014-12-29,20.59,20.59,19.94,19.94,4394410.0,78367944.0
2014-12-26,20.93,21.03,20.99,20.61,2576266.0,47710368.0
2014-12-25,20.55,21.21,21.04,20.4,4799613.0,88951872.0
2014-12-24,19.54,20.38,20.38,19.45,3983544.0,71041000.0
2014-12-23,19.38,19.67,19.41,19.36,2431573.0,42169836.0
2014-12-22,20.82,20.82,19.44,19.36,5608237.0,98615152.0
2014-12-19,19.9,20.71,20.26,19.74,5963412.0,107756512.0
2014-12-18,20.81,20.81,19.92,19.91,9924516.0,177970544.0
2014-12-17,21.66,21.68,20.89,20.83,5434494.0,101884344.0
2014-12-16,21.63,21.91,21.73,21.41,4434035.0,85444080.0
2014-12-15,21.1,21.97,21.62,21.1,10189643.0,194548864.0
2014-12-12,21.79,22.42,22.2,21.68,4489341.0,88053784.0
2014-12-11,21.56,21.89,21.87,21.25,4407339.0,84264496.0
2014-12-10,21.24,21.74,21.63,20.63,5166574.0,97893216.0
2014-12-09,21.17,21.86,21.3,21.16,6926736.0,132149960.0
2014-12-08,21.95,21.95,21.39,21.07,9614771.0,183349328.0
2014-12-05,23.19,23.24,22.18,22.18,11831096.0,235915472.0
2014-12-04,23.52,24.13,23.35,23.1,11430543.0,239138272.0
2014-12-03,24.48,24.48,23.94,23.7,8953683.0,190749328.0
2014-12-02,24.65,25.02,24.54,24.36,4208385.0,92066688.0
2014-12-01,25.43,25.63,24.67,24.34,5968403.0,131840912.0
2014-11-28,24.83,25.77,25.57,24.81,6058341.0,136407072.0
2014-11-27,24.77,25.41,24.96,24.67,5448110.0,121080472.0
2014-11-26,24.38,25.07,24.63,24.11,5354101.0,116775040.0
2014-11-25,24.05,24.7,24.59,23.97,3826332.0,82629872.0
2014-11-24,23.86,24.41,24.02,23.86,4193500.0,89611608.0
2014-11-21,23.66,23.97,23.75,23.59,3228153.0,68099544.0
2014-11-20,23.76,23.85,23.68,23.58,2118842.0,44586140.0
2014-11-19,23.75,24.03,23.93,23.64,1987596.0,42143108.0
2014-11-18,24.24,24.42,23.76,23.63,2504659.0,53304736.0
2014-11-17,23.73,24.6,24.32,23.73,2508018.0,54001964.0
2014-11-14,23.84,23.96,23.63,23.41,2398060.0,50277632.0
2014-11-13,24.48,24.65,23.85,23.68,3405172.0,72544656.0
2014-11-12,24.42,24.72,24.66,23.97,2001267.0,43332888.0
2014-11-11,24.48,25.15,24.27,23.51,3820846.0,82864616.0
2014-11-10,24.63,24.78,24.48,24.2,4651027.0,100921712.0
2014-11-07,25.88,26.66,24.87,24.71,6711095.0,153792624.0
2014-11-05,25.26,25.75,25.39,24.94,2501359.0,56608428.0
2014-11-04,25.62,25.94,25.26,25.04,4260088.0,96397288.0
2014-11-03,26.09,26.71,25.76,25.64,5392308.0,124818592.0
2014-10-31,26.0,26.54,26.06,25.44,6344641.0,145996576.0
2014-10-30,24.76,25.79,25.79,24.68,10128563.0,230364864.0
2014-10-29,24.33,25.07,24.57,24.33,5181332.0,113823432.0
2014-10-28,23.16,24.06,23.88,23.1,2739915.0,57679232.0
2014-10-27,23.09,23.39,23.21,22.85,2222526.0,45562564.0
2014-10-24,23.08,23.34,23.15,22.78,2080276.0,42760744.0
2014-10-23,23.34,23.86,23.08,22.97,4021573.0,83488560.0
2014-10-22,24.3,24.53,23.12,23.09,6795349.0,144165840.0
2014-10-21,25.3,25.3,24.31,24.2,5419113.0,118688984.0
2014-10-20,25.43,25.52,25.38,24.97,3410160.0,76589288.0
2014-10-17,25.22,26.02,25.3,24.88,6324342.0,142849952.0
2014-10-16,24.74,25.83,25.25,24.42,8982302.0,202758624.0
2014-10-15,24.14,24.92,24.75,23.98,4456567.0,97021928.0
2014-10-14,24.87,25.83,24.38,23.75,7113959.0,158556768.0
2014-10-13,24.98,25.29,24.94,24.59,5084404.0,112449160.0
2014-10-10,25.16,25.48,25.19,24.8,6552398.0,145893280.0
2014-10-09,25.61,25.83,25.06,24.89,5006867.0,112295504.0
2014-10-08,25.86,25.87,25.59,25.21,4591769.0,104074560.0
2014-09-30,25.32,26.08,25.94,25.19,6370123.0,145617040.0
2014-09-29,23.76,25.15,25.15,23.76,6929151.0,153063136.0
2014-09-26,23.86,24.62,23.96,23.61,4749276.0,101967200.0
2014-09-25,22.98,24.14,24.04,22.92,8371027.0,177591920.0
2014-09-24,22.77,23.51,22.99,22.45,6264259.0,127925176.0
2014-09-23,23.46,23.68,22.82,22.69,6160712.0,126121824.0
2014-09-22,23.46,23.75,23.35,22.96,4569606.0,94699952.0
2014-09-19,22.41,23.64,23.64,22.18,8608088.0,177223424.0
2014-09-18,22.73,23.23,22.52,22.15,5785278.0,116519616.0
2014-09-17,22.07,23.05,22.83,21.75,10103085.0,201082080.0
2014-09-16,22.95,23.55,21.96,21.96,14249379.0,285265440.0
2014-09-15,22.31,23.24,23.12,22.31,10095049.0,204551232.0
2014-09-12,22.38,22.56,22.32,22.06,7664066.0,151901760.0
2014-09-11,21.46,22.36,22.35,21.44,14169222.0,278022336.0
2014-09-10,21.21,21.75,21.29,21.18,5514959.0,104970368.0
2014-09-09,20.81,21.57,21.35,20.71,6271414.0,118256416.0
2014-09-05,20.71,21.04,20.74,20.61,4216395.0,77851904.0
2014-09-04,20.48,20.84,20.75,20.38,4706123.0,86300576.0
2014-09-03,20.43,20.75,20.54,20.31,4958065.0,90394776.0
2014-09-02,20.1,20.5,20.43,19.92,6520437.0,117322768.0
2014-09-01,19.67,20.11,20.02,19.64,3434476.0,60665224.0
2014-08-29,19.65,20.07,19.81,19.57,2569747.0,45027212.0
2014-08-28,19.71,20.22,19.67,19.64,3185292.0,56207760.0
2014-08-27,19.78,19.89,19.84,19.58,3042185.0,53334868.0
2014-08-26,20.01,20.46,19.86,19.81,6734219.0,120352120.0
2014-08-25,19.86,19.93,19.84,19.55,3938449.0,68998872.0
2014-08-22,19.55,19.77,19.77,19.37,3865684.0,67131784.0
2014-08-21,19.84,19.95,19.51,19.41,5083752.0,88778840.0
2014-08-20,20.07,20.1,20.02,19.81,2976149.0,52792868.0
2014-08-19,19.6,20.2,20.04,19.59,7224706.0,128402072.0
2014-08-18,19.42,19.78,19.71,19.21,5559063.0,96100736.0
2014-08-15,19.47,19.6,19.49,19.45,3610466.0,62588548.0
2014-08-14,19.14,19.66,19.53,19.14,5120332.0,88423248.0
2014-08-13,19.31,19.48,19.22,19.17,3314279.0,56762780.0
2014-08-12,19.51,19.53,19.35,19.26,4009937.0,68864440.0
2014-08-11,19.38,19.58,19.48,19.26,2819329.0,48822384.0
2014-08-08,19.4,19.68,19.36,19.26,3676166.0,63503204.0
2014-08-07,19.2,19.47,19.26,19.14,4484219.0,76996184.0
2014-08-06,19.11,19.35,19.2,19.06,3733937.0,63778216.0
2014-08-05,19.17,19.23,19.11,19.02,2767433.0,46988824.0
2014-08-04,19.31,19.31,19.14,19.09,2823079.0,48137916.0
2014-08-01,19.08,19.41,19.22,19.02,4786400.0,81873744.0
2014-07-31,19.09,19.33,19.15,18.99,2329491.0,39661476.0
2014-07-30,19.11,19.18,19.14,18.93,2905294.0,49205624.0
2014-07-29,19.02,19.27,19.06,18.92,2299480.0,39035000.0
2014-07-28,18.77,19.18,19.03,18.77,2545194.0,42960180.0
2014-07-25,18.72,18.84,18.73,18.52,1839944.0,30495614.0
2014-07-24,18.59,18.93,18.72,18.5,2046562.0,34134620.0
2014-07-23,18.84,18.91,18.59,18.52,1277167.0,21186928.0
2014-07-22,18.51,18.88,18.73,18.51,1366132.0,22752920.0
2014-07-21,18.85,18.91,18.58,18.56,1517625.0,25168976.0
2014-07-18,18.79,19.02,18.94,18.74,2424336.0,40615572.0
2014-07-17,19.12,19.12,18.82,18.7,2260112.0,37874836.0
2014-07-16,19.35,19.41,19.03,19.01,2871691.0,48991980.0
2014-07-15,19.36,19.66,19.41,19.02,3260909.0,56095584.0
2014-07-14,19.37,19.64,19.6,19.24,2239184.0,38740352.0
2014-07-11,19.3,19.53,19.38,19.13,2015105.0,34620492.0
2014-07-10,19.31,19.44,19.36,19.13,2024899.0,34750336.0
2014-07-09,19.75,19.99,19.32,19.14,4121917.0,71626208.0
2014-07-08,19.84,19.98,19.91,19.58,2759500.0,48484740.0
