date,open,high,close,low,volume,amount
2015-12-31,19.68,19.89,18.95,18.91,14349902.0,390439584.0
2015-12-30,20.29,20.53,19.82,19.67,18107964.0,510645440.0
2015-12-29,20.21,20.41,20.14,19.7,16877620.0,475657120.0
2015-12-28,20.39,21.0,20.43,19.75,42766896.0,1225100672.0
2015-12-25,18.57,20.16,20.16,18.34,23660574.0,651291008.0
2015-12-24,18.48,18.69,18.33,17.73,28943132.0,744149184.0
2015-12-23,19.23,19.96,19.25,19.11,17541960.0,479208064.0
2015-12-22,19.38,19.63,19.25,18.97,18126530.0,491537824.0
2015-12-21,19.89,19.98,19.4,19.31,21166416.0,582848576.0
2015-12-18,19.37,20.14,20.1,18.87,25306980.0,695948544.0
2015-12-17,18.91,19.72,19.36,18.62,23496472.0,634307520.0
2015-12-16,18.58,19.53,18.76,18.58,31791216.0,849180736.0
2015-12-15,16.99,18.44,18.44,16.85,20845058.0,525489696.0
2015-12-14,16.48,17.05,16.77,16.27,17389260.0,407434016.0
2015-12-11,17.34,17.62,16.85,16.77,9669229.0,233693520.0
2015-12-10,17.02,17.88,17.41,17.02,9958806.0,245481120.0
2015-12-09,17.69,17.9,17.25,17.06,11658397.0,285443648.0
2015-12-08,18.43,18.47,17.78,17.68,11611970.0,295825600.0
2015-12-07,18.15,18.78,18.57,17.86,13101977.0,338793056.0
2015-12-04,18.12,18.82,18.22,17.98,14480754.0,374439424.0
2015-12-03,17.62,18.19,18.19,17.35,11996727.0,300875360.0
2015-12-02,18.19,18.54,17.42,16.7,18135114.0,446144864.0
2015-12-01,19.03,19.6,18.4,17.98,19622368.0,519397152.0
2015-11-30,19.08,19.25,19.05,17.65,19814902.0,520253600.0
2015-11-27,19.97,20.51,18.74,18.49,30974360.0,853769728.0
2015-11-26,21.21,21.44,20.11,20.02,30901152.0,903670208.0
2015-11-25,20.73,21.22,20.8,20.46,26454940.0,775893248.0
2015-11-24,20.83,21.06,20.79,20.25,24247376.0,704230848.0
2015-11-23,19.38,21.65,21.1,19.25,48600812.0,1408322432.0
2015-11-20,19.24,20.18,19.68,18.47,36754208.0,990523264.0
2015-11-19,19.04,19.33,19.33,18.49,18932216.0,504737120.0
2015-11-18,19.04,19.78,18.93,18.9,16225155.0,441189408.0
2015-11-17,20.18,20.38,19.11,18.9,24496484.0,676642496.0
2015-11-16,18.83,20.25,19.97,18.72,24447540.0,670909888.0
2015-11-13,20.46,21.03,19.52,19.41,36114532.0,1023004992.0
2015-11-12,19.99,20.96,20.46,19.48,30030432.0,853018816.0
2015-11-11,19.47,19.88,19.52,18.95,21042752.0,576224064.0
2015-11-10,19.5,21.17,19.73,19.33,28184396.0,793933312.0
2015-11-09,18.9,20.6,19.79,18.53,31358884.0,863917376.0
2015-11-06,17.87,19.4,18.88,17.84,36801740.0,970402752.0
2015-11-05,18.47,19.15,18.08,17.84,37168660.0,965216192.0
2015-11-04,17.12,18.76,18.76,17.12,36487192.0,915028416.0
2015-11-03,18.47,18.83,17.06,16.92,38038548.0,949214592.0
2015-11-02,17.76,19.18,18.51,17.41,49685616.0,1295737600.0
2015-10-30,18.45,19.89,18.47,18.45,113399168.0,3004978176.0
2015-10-29,20.49,20.49,20.49,20.49,410100.0,11827284.0
2015-10-28,22.76,22.76,22.76,22.76,1208800.0,38729952.0
2015-10-27,25.29,25.29,25.29,25.29,295100.0,10505560.0
2015-05-27,26.43,28.1,28.1,26.08,47025560.0,1827351040.0
2015-05-26,24.35,26.16,25.54,24.15,34694788.0,1240770944.0
2015-05-25,23.44,25.93,24.57,22.45,51110928.0,1728138752.0
