date,open,high,close,low,volume,amount
2015-12-31,11.55,11.63,11.5,11.47,43907742.0,196539323.0
2015-12-30,11.71,11.71,11.55,11.5,46344123.0,207870524.0
2015-12-29,11.71,11.73,11.65,11.52,58123197.0,261321574.0
2015-12-28,11.96,11.99,11.73,11.71,74734583.0,342683794.0
2015-12-25,11.89,12.09,11.99,11.81,61125021.0,283141948.0
2015-12-24,11.91,12.01,11.89,11.78,58883536.0,270996544.0
2015-12-23,12.14,12.14,11.94,11.91,87284752.0,406370656.0
2015-12-22,12.17,12.27,12.17,12.07,75047777.0,353291615.0
2015-12-21,12.12,12.22,12.17,11.99,73018256.0,343455392.0
2015-12-18,12.37,12.37,12.17,12.04,105767728.0,499295840.0
2015-12-17,12.3,12.5,12.4,12.27,113409264.0,544184576.0
2015-12-16,12.27,12.48,12.27,12.25,78820672.0,377066784.0
2015-12-15,12.48,12.48,12.32,12.25,98070672.0,468519744.0
2015-12-14,12.01,12.66,12.53,11.91,130421712.0,627936384.0
2015-12-11,12.14,12.5,12.25,11.73,121782360.0,569802816.0
2015-12-10,12.04,12.5,12.12,11.99,84102024.0,399126176.0
2015-12-09,12.25,12.32,12.04,12.01,96495233.0,453185752.0
2015-12-08,12.74,12.76,12.38,12.32,130066320.0,628445952.0
2015-12-07,12.92,13.02,12.87,12.76,99110778.0,494265084.0
2015-12-04,13.07,13.2,12.94,12.84,128251176.0,648031744.0
2015-12-03,12.84,13.25,13.1,12.74,131544298.0,663736137.0
2015-12-02,12.92,12.92,12.87,12.38,111812992.0,550632448.0
2015-12-01,13.12,13.12,12.94,12.76,146785762.0,734689625.0
2015-11-30,13.23,13.61,13.12,12.12,229348080.0,1150672000.0
2015-11-27,13.95,14.39,13.33,13.02,293181888.0,1568285312.0
2015-11-26,14.15,14.93,14.28,13.79,356929248.0,1970106368.0
2015-11-25,14.0,15.08,14.39,13.92,459039072.0,2588459520.0
2015-11-24,14.46,14.46,14.0,13.38,493330208.0,2664440576.0
2015-11-23,14.15,14.57,14.57,13.9,590388672.0,3313915392.0
2015-11-20,12.07,13.25,13.25,11.94,294332000.0,1467616384.0
2015-11-19,11.89,12.19,12.04,11.6,194466592.0,902126528.0
2015-11-18,11.73,12.5,11.89,11.42,250081056.0,1154642560.0
2015-11-17,12.07,12.14,11.73,11.71,248004608.0,1141934080.0
2015-11-16,11.81,12.04,11.99,11.52,329020800.0,1505288576.0
2015-11-13,12.5,13.38,12.81,12.3,196092624.0,982962496.0
2015-11-12,12.31,12.76,12.31,12.17,118501832.0,1716347776.0
2015-11-11,12.48,12.52,12.25,12.15,74875440.0,1070744576.0
2015-11-10,12.09,12.96,12.33,12.01,121642872.0,1771107712.0
2015-11-09,12.36,12.6,12.2,12.03,98302896.0,1406804864.0
2015-11-06,11.94,12.32,12.3,11.82,72933144.0,1027557312.0
2015-11-05,11.8,12.2,11.94,11.7,85181912.0,1184323712.0
2015-11-04,11.22,12.29,11.83,11.22,86035472.0,1179219584.0
2015-11-03,11.2,11.51,11.22,11.1,37795000.0,496535744.0
2015-11-02,11.17,11.54,11.03,10.92,56361920.0,739145920.0
2015-10-30,11.31,11.99,11.63,11.17,63131688.0,847058752.0
2015-10-29,11.26,11.64,11.33,11.2,47049192.0,625702336.0
2015-10-28,11.71,11.71,11.14,11.03,73503216.0,970100928.0
2015-10-27,10.53,11.75,11.75,10.49,108377624.0,1415594368.0
2015-10-26,10.58,10.97,10.68,10.48,52956184.0,660731840.0
2015-10-23,10.14,10.48,10.43,10.07,37732712.0,451826112.0
2015-10-22,9.79,10.27,10.13,9.72,43365868.0,503660640.0
2015-10-21,10.8,10.85,9.7,9.69,61404096.0,728958400.0
2015-10-20,10.67,10.87,10.77,10.59,50247380.0,627220160.0
2015-10-19,10.53,11.08,10.75,10.39,66644380.0,830516864.0
2015-10-16,10.55,10.64,10.51,10.28,48776912.0,593787712.0
2015-10-15,10.19,10.58,10.53,10.18,46503760.0,563889024.0
2015-10-14,10.15,10.7,10.3,10.1,58742688.0,714224960.0
2015-10-13,10.12,10.29,10.22,10.01,49322344.0,582225088.0
2015-10-12,9.68,10.55,10.31,9.63,67859456.0,795727488.0
2015-10-09,9.31,9.82,9.64,9.21,50477316.0,562890880.0
2015-10-08,9.43,9.5,9.26,9.22,34980268.0,381404576.0
2015-09-30,9.02,9.15,8.97,8.95,16920788.0,178108864.0
2015-09-29,9.08,9.18,8.93,8.86,24472276.0,256949920.0
2015-09-28,9.18,9.33,9.32,9.01,20139056.0,215891568.0
2015-09-25,9.8,9.87,9.12,9.03,46352760.0,507865184.0
2015-09-24,9.74,10.01,9.87,9.69,44180460.0,506422624.0
2015-09-23,9.38,9.93,9.74,9.36,48915924.0,547047680.0
2015-09-22,9.74,10.01,9.71,9.55,44871740.0,510456032.0
2015-09-21,9.11,9.87,9.76,9.08,43434176.0,480317280.0
2015-09-18,9.32,9.43,9.33,9.08,28741340.0,309429920.0
2015-09-17,9.38,9.88,9.17,9.12,53060480.0,591242944.0
2015-09-16,8.68,9.53,9.45,8.59,47640608.0,500245824.0
2015-09-15,9.46,9.49,8.66,8.66,43669140.0,458477632.0
2015-09-14,10.74,10.79,9.63,9.63,45498708.0,532905632.0
2015-09-11,10.66,10.8,10.69,10.4,29627612.0,365930560.0
2015-09-10,10.85,11.09,10.64,10.6,37565632.0,475379744.0
2015-09-09,10.74,11.25,11.1,10.66,62721228.0,805001280.0
2015-09-08,10.45,10.9,10.77,9.81,42748492.0,517156544.0
2015-09-07,10.48,11.34,10.43,10.36,46258732.0,582284096.0
2015-09-02,9.73,10.74,10.52,9.59,104139424.0,1251790080.0
2015-09-01,10.31,10.44,10.36,9.53,94765408.0,1107191552.0
2015-08-31,10.57,10.64,10.59,9.96,111681872.0,1349057280.0
2015-08-28,10.23,11.0,10.99,10.03,100300400.0,1220173952.0
2015-08-27,9.75,10.06,10.0,9.27,86078072.0,969317312.0
2015-08-26,9.51,10.21,9.32,9.13,104925136.0,1175045120.0
2015-08-25,9.44,10.06,9.36,9.36,70294256.0,785983744.0
2015-08-24,11.09,11.17,10.4,10.4,63370332.0,778715200.0
2015-08-21,12.04,12.46,11.55,11.39,75625472.0,1047371840.0
2015-08-20,12.46,13.37,12.37,12.16,88441960.0,1317398784.0
2015-08-19,12.13,12.92,12.66,11.47,93974568.0,1336920576.0
2015-08-18,13.92,14.02,12.62,12.62,113549288.0,1748635776.0
2015-08-17,13.89,14.07,14.02,13.49,97043032.0,1555085952.0
2015-08-14,14.64,14.68,13.91,13.77,161005392.0,2644884992.0
2015-08-13,12.98,14.27,14.27,12.95,176423536.0,2844459264.0
2015-08-12,13.32,13.58,12.98,12.97,87521752.0,1347536640.0
2015-08-11,13.44,13.92,13.54,13.29,132806168.0,2102649088.0
2015-08-10,12.72,13.72,13.48,12.52,134047456.0,2054523904.0
2015-08-07,12.23,12.8,12.48,12.22,83724544.0,1219387392.0
2015-08-06,11.89,12.45,11.99,11.83,64372344.0,904305280.0
2015-08-05,12.72,12.89,12.33,12.19,94846016.0,1385037184.0
2015-08-04,12.1,12.98,12.89,11.87,111816712.0,1630858496.0
2015-08-03,12.72,13.04,11.95,11.93,122108248.0,1743753856.0
2015-07-31,12.89,13.92,13.25,12.8,111023968.0,1727700480.0
2015-07-30,13.85,14.25,13.16,12.94,127031816.0,2040859520.0
2015-07-29,13.97,14.44,14.28,12.56,163581840.0,2584479232.0
2015-07-28,12.53,14.14,13.69,12.16,178029856.0,2726459392.0
2015-07-27,14.39,15.32,13.42,13.42,183468752.0,3088124928.0
2015-07-24,14.36,15.64,14.92,13.92,229201872.0,3912460032.0
2015-07-23,14.33,14.94,14.52,14.18,144566736.0,2446617600.0
2015-07-22,14.88,15.08,14.37,13.61,227291824.0,3837530880.0
2015-07-21,13.18,14.77,14.77,13.01,256263872.0,4294838528.0
2015-07-20,12.76,13.67,13.43,12.76,220290672.0,3440066048.0
2015-07-17,12.93,13.85,13.37,12.75,299087584.0,4720498176.0
2015-07-16,10.88,12.59,12.59,10.54,198855728.0,2797802496.0
2015-07-15,12.4,12.99,11.45,11.45,230908160.0,3268023808.0
2015-07-14,12.02,12.71,12.71,11.86,301016032.0,4419997184.0
2015-07-13,11.56,11.56,11.56,11.22,106079728.0,1438523648.0
2015-07-10,10.5,10.5,10.5,10.08,56351144.0,693748864.0
2015-07-09,8.25,9.55,9.55,7.91,114460512.0,1186414720.0
2015-07-08,8.68,9.18,8.68,8.68,151401424.0,1554775552.0
2015-07-07,9.93,10.32,9.64,9.31,258240944.0,2942848512.0
2015-07-06,10.35,10.35,10.35,10.13,218281744.0,2654432000.0
2015-07-03,9.4,9.4,9.4,9.23,110459496.0,1221410432.0
2015-07-02,9.51,9.55,8.55,8.55,50990712.0,540396608.0
2015-07-01,10.21,10.56,9.5,9.46,34379044.0,407972256.0
2015-06-30,9.29,10.63,10.51,8.96,46215336.0,532364800.0
2015-06-29,11.34,11.38,9.96,9.96,43176816.0,525168224.0
2015-06-26,11.83,12.07,11.06,11.06,20580142.0,277429888.0
2015-06-25,13.34,13.35,12.29,12.12,23659912.0,359653216.0
2015-06-24,13.04,13.44,13.38,12.75,27022616.0,416238368.0
2015-06-23,12.83,13.04,12.93,11.52,20722892.0,304682976.0
2015-06-19,13.61,14.12,12.81,12.79,18812228.0,301270688.0
2015-06-18,14.29,14.6,13.78,13.52,21871524.0,366629504.0
2015-06-17,13.86,14.59,14.38,13.36,28714568.0,470763616.0
2015-06-16,15.28,15.33,14.11,14.1,35691664.0,612482944.0
2015-06-15,15.27,15.99,15.66,15.06,44113784.0,807813760.0
2015-06-12,15.08,15.54,15.31,15.08,26988976.0,487026688.0
2015-06-11,15.31,15.47,15.2,14.97,22019642.0,393278720.0
