date,open,high,close,low,volume,amount
2015-12-31,9.14,9.43,9.01,8.97,27441998.0,370150219.0
2015-12-30,8.62,9.19,9.08,8.55,25687184.0,336460009.0
2015-12-29,8.43,8.65,8.62,8.34,11622853.0,145034951.0
2015-12-28,8.86,8.92,8.41,8.39,17228157.0,217968900.0
2015-12-25,8.74,8.86,8.8,8.67,11910380.0,153140453.0
2015-12-24,8.55,8.81,8.78,8.43,15474191.0,194123168.0
2015-12-23,9.01,9.05,8.64,8.6,22358258.0,288266912.0
2015-12-22,9.11,9.21,9.01,8.97,18386172.0,243362032.0
2015-12-21,8.67,9.14,9.13,8.6,27407940.0,355993856.0
2015-12-18,9.07,9.07,8.75,8.67,28754176.0,372755680.0
2015-12-17,9.05,9.31,9.08,8.98,31542510.0,421123712.0
2015-12-16,9.02,9.27,8.95,8.89,28326658.0,375346432.0
2015-12-15,9.29,9.36,9.11,9.1,32944524.0,443015744.0
2015-12-14,8.77,9.51,9.39,8.73,48198452.0,638007424.0
2015-12-11,8.77,9.1,8.91,8.54,38785392.0,502324192.0
2015-12-10,8.3,8.93,8.88,8.2,42603084.0,537278208.0
2015-12-09,7.93,8.52,8.46,7.86,36082405.0,434545540.0
2015-12-08,7.98,8.25,8.08,7.78,26107178.0,305674176.0
2015-12-07,7.68,8.09,8.06,7.61,19466940.0,225376326.0
2015-12-04,7.62,7.81,7.7,7.57,16638276.0,187816864.0
2015-12-03,7.61,7.75,7.68,7.46,14432582.0,161483064.0
2015-12-02,7.37,7.64,7.55,7.31,20067204.0,220834720.0
2015-12-01,7.37,7.48,7.37,7.17,14724410.0,158523614.0
2015-11-30,7.61,7.75,7.38,6.92,21672736.0,233348672.0
2015-11-27,8.34,8.45,7.61,7.59,28533600.0,333521120.0
2015-11-26,8.72,8.84,8.44,8.41,26428404.0,331734016.0
2015-11-25,8.6,8.84,8.74,8.45,32740246.0,412411456.0
2015-11-24,8.06,8.77,8.7,7.93,45265148.0,558486656.0
2015-11-23,8.23,8.42,8.08,8.04,26018952.0,313890752.0
2015-11-20,7.98,8.33,8.19,7.98,27047880.0,323054688.0
2015-11-19,7.96,8.11,8.09,7.78,22997420.0,267928880.0
2015-11-18,8.25,8.62,8.0,7.89,34491288.0,420670784.0
2015-11-17,8.16,8.69,8.34,8.02,43775500.0,534980448.0
2015-11-16,7.92,8.19,8.1,7.83,31572330.0,370043200.0
2015-11-13,7.62,8.43,8.12,7.57,48578652.0,570161408.0
2015-11-12,7.89,7.96,7.74,7.59,25775840.0,292420928.0
2015-11-11,7.67,7.95,7.89,7.55,32125372.0,367167904.0
2015-11-10,7.5,7.81,7.61,7.46,22707684.0,253496480.0
2015-11-09,7.41,7.55,7.51,7.31,22398694.0,244131648.0
2015-11-06,7.3,7.57,7.48,7.3,21347896.0,233293920.0
2015-11-05,7.27,7.44,7.3,7.19,20781556.0,222919984.0
2015-11-04,6.95,7.32,7.31,6.95,18301024.0,192173328.0
