date,open,high,close,low,volume,amount
2015-12-31,21.08,21.9,19.39,19.38,25642944.0,636735744.0
2015-12-30,18.73,20.83,20.83,18.73,22679724.0,542457920.0
2015-12-29,18.04,19.22,18.94,17.52,19602156.0,428008288.0
2015-12-28,18.42,19.53,17.82,17.71,16615124.0,367417504.0
2015-12-25,17.87,18.38,18.11,17.54,12227710.0,260059424.0
2015-12-24,17.72,18.41,18.0,16.58,18898224.0,391968704.0
2015-12-23,17.93,18.13,17.85,17.42,11365939.0,238973312.0
2015-12-22,18.03,18.43,17.72,17.58,14454200.0,306805408.0
2015-12-21,18.72,19.11,17.89,17.54,17783028.0,380537440.0
2015-12-18,19.26,19.56,18.61,18.55,12202896.0,273071904.0
2015-12-17,19.25,19.77,19.42,18.8,14766049.0,338172576.0
2015-12-16,19.44,20.24,19.37,19.02,16126428.0,375812448.0
2015-12-15,18.21,19.83,19.45,18.02,14916211.0,337852192.0
2015-12-14,18.45,19.18,18.4,17.17,20160404.0,434868352.0
2015-12-11,17.69,19.29,18.85,17.37,21181460.0,463130912.0
2015-12-10,16.71,18.45,17.96,16.37,23190146.0,471665568.0
2015-12-09,17.1,18.46,17.01,16.9,21086872.0,444141312.0
2015-12-08,18.42,18.72,17.36,17.18,28048142.0,588958144.0
2015-12-07,17.27,18.28,18.28,17.03,32167424.0,686110144.0
2015-12-04,15.4,17.28,16.62,15.34,27745696.0,540792000.0
2015-12-03,14.59,15.77,15.77,14.55,21092162.0,379963392.0
2015-12-02,15.18,15.39,14.33,14.0,23494534.0,410095808.0
2015-12-01,15.67,17.36,15.56,15.54,31414350.0,613083008.0
2015-11-30,14.92,16.19,15.89,14.72,32812108.0,601802688.0
2015-11-27,15.68,15.92,14.72,14.72,31571876.0,573318720.0
2015-11-26,14.97,16.41,16.36,14.88,50564564.0,949175232.0
2015-11-25,14.46,15.16,14.92,14.22,39430828.0,685247872.0
2015-11-24,14.42,15.46,14.87,14.19,52725108.0,925139136.0
2015-11-23,16.86,16.86,14.06,14.06,67421816.0,1175420032.0
2015-11-20,15.62,15.62,15.62,15.18,11648570.0,215576800.0
2015-11-19,13.72,14.2,14.2,13.59,11422895.0,189166208.0
2015-11-18,12.23,12.91,12.91,11.8,58368240.0,878946368.0
2015-11-17,11.74,11.74,11.74,11.74,10817506.0,150579680.0
2015-11-16,10.67,10.67,10.67,10.67,5905484.0,74704376.0
2015-03-19,9.2,10.03,9.7,8.92,17700238.0,200401968.0
2015-03-18,9.17,9.27,9.19,8.9,12558881.0,135653024.0
2015-03-17,8.66,9.33,9.19,8.63,23879388.0,254284720.0
2015-03-16,8.2,8.9,8.75,8.2,28975640.0,300386304.0
2015-03-13,7.82,8.38,8.09,7.74,13340478.0,126607880.0
2015-03-12,7.38,7.99,7.81,7.38,12958376.0,119788144.0
2015-03-11,7.55,7.67,7.45,7.39,4662845.0,41271728.0
2015-03-10,7.53,7.74,7.56,7.52,5502846.0,49872440.0
2015-03-09,7.39,7.59,7.5,7.18,7098321.0,62385008.0
2015-03-06,7.59,7.59,7.39,7.18,13660026.0,118487280.0
2015-03-05,7.56,7.69,7.61,7.5,6669526.0,60142688.0
2015-03-04,7.66,7.93,7.57,7.51,10275872.0,94509704.0
2015-03-03,7.55,7.75,7.66,7.46,8704739.0,79025608.0
2015-03-02,7.24,7.75,7.55,7.17,12436410.0,110466840.0
2015-02-27,7.11,7.26,7.17,7.06,7073813.0,60072856.0
2015-02-26,7.21,7.28,7.1,7.02,8067170.0,68186152.0
2015-02-25,6.99,7.42,7.21,6.99,10432399.0,89629616.0
2015-02-17,6.91,6.97,6.9,6.82,4349349.0,35603832.0
2015-02-16,6.77,6.96,6.9,6.77,4238482.0,34564404.0
2015-02-13,6.8,6.96,6.77,6.74,7858137.0,63726232.0
2015-02-12,6.45,6.95,6.8,6.42,7129122.0,56980264.0
2015-02-11,6.42,6.49,6.43,6.33,3848435.0,29354448.0
2015-02-10,6.32,6.5,6.37,6.21,3492732.0,26371066.0
2015-02-09,6.53,6.57,6.34,6.29,5105042.0,38570536.0
2015-02-06,6.55,6.72,6.55,6.53,5300995.0,41525136.0
2015-02-05,6.52,6.74,6.59,6.41,10702135.0,83991304.0
2015-02-04,6.69,6.77,6.47,6.46,11152493.0,86940176.0
2015-02-03,6.05,6.6,6.6,6.01,14178102.0,107512312.0
2015-02-02,5.94,6.1,6.0,5.91,3281181.0,23502542.0
2015-01-30,6.07,6.1,5.99,5.97,2855336.0,20383526.0
2015-01-29,6.02,6.1,6.03,5.99,3621907.0,25968958.0
2015-01-28,6.13,6.13,6.05,6.05,3563811.0,25716554.0
2015-01-27,6.11,6.16,6.13,5.99,6244480.0,45110376.0
2015-01-26,6.05,6.16,6.11,6.04,5444359.0,39309240.0
2015-01-23,6.11,6.24,6.04,6.03,6591939.0,47982632.0
2015-01-22,5.98,6.12,6.1,5.9,7150339.0,50724056.0
2015-01-21,5.88,6.05,5.94,5.86,8015410.0,56561556.0
2015-01-20,5.57,5.86,5.85,5.57,3957016.0,27009602.0
2015-01-19,5.61,5.78,5.56,5.47,3299654.0,22188368.0
2015-01-16,5.73,5.78,5.74,5.61,4709914.0,31794650.0
2015-01-15,5.82,5.89,5.73,5.67,4437422.0,30285860.0
2015-01-14,6.41,6.41,5.93,5.9,7864615.0,56938856.0
2014-12-25,5.66,5.95,5.88,5.66,3297088.0,22848584.0
2014-12-24,5.64,5.75,5.7,5.64,3050098.0,20653976.0
2014-12-23,5.56,5.72,5.61,5.46,3805805.0,25449354.0
2014-12-22,6.13,6.13,5.52,5.48,6747665.0,45317272.0
2014-12-19,6.42,6.42,6.09,6.0,6737886.0,49273228.0
2014-12-18,6.49,6.55,6.41,6.33,4082143.0,31049626.0
2014-12-17,6.69,6.69,6.49,6.37,5964538.0,45781200.0
2014-12-16,6.81,6.86,6.7,6.62,4708748.0,37420588.0
2014-12-15,6.82,6.88,6.83,6.67,4544400.0,36511296.0
2014-12-12,6.72,6.87,6.82,6.67,3368570.0,27267504.0
2014-12-11,6.55,6.75,6.72,6.5,3731136.0,29493622.0
2014-12-10,6.34,6.58,6.55,6.27,4336319.0,33221060.0
2014-12-09,6.87,6.87,6.34,6.33,8924586.0,69644056.0
2014-12-08,6.98,7.23,6.87,6.87,7800278.0,64652336.0
2014-12-05,7.7,7.74,7.23,7.19,8659761.0,75312168.0
2014-12-04,7.74,7.81,7.7,7.65,4733074.0,43179484.0
2014-12-03,7.67,7.84,7.73,7.5,6712180.0,61124288.0
2014-12-02,7.67,7.79,7.66,7.57,5920203.0,53995308.0
2014-12-01,7.71,7.84,7.7,7.54,5998890.0,54614420.0
2014-11-28,7.85,7.86,7.74,7.61,6723875.0,61477776.0
2014-11-27,7.32,7.88,7.82,7.24,13154380.0,119905456.0
2014-11-26,7.21,7.29,7.23,7.15,4010041.0,34280228.0
2014-11-25,7.1,7.24,7.21,7.06,3501288.0,29881770.0
2014-11-24,7.33,7.34,7.11,6.94,7522980.0,63505012.0
2014-11-21,7.34,7.39,7.26,7.21,4201852.0,36189160.0
2014-11-20,7.28,7.37,7.34,7.17,3034556.0,26327430.0
2014-11-19,7.17,7.32,7.3,7.15,4099431.0,35259660.0
2014-11-18,7.44,7.49,7.18,6.69,6779822.0,58106680.0
2014-11-17,7.54,7.55,7.44,7.28,5576458.0,48872504.0
2014-11-14,7.49,7.59,7.45,7.3,3446234.0,30360628.0
2014-11-13,7.76,7.83,7.5,7.47,5957029.0,53999368.0
2014-11-12,7.33,7.67,7.67,7.22,4932377.0,43872892.0
2014-11-11,7.43,7.53,7.34,7.12,4584747.0,39654948.0
2014-11-10,7.35,7.55,7.47,7.34,3829664.0,33752476.0
2014-11-07,7.61,7.64,7.39,7.35,5767756.0,51401820.0
2014-11-06,7.67,7.67,7.6,7.5,4490590.0,40344996.0
2014-11-05,7.74,7.76,7.66,7.63,3812144.0,34711572.0
2014-11-04,7.72,7.84,7.77,7.61,6564124.0,59916228.0
