date,open,high,close,low,volume,amount
2015-12-10,67.5,70.08,65.37,64.77,11788443.0,724987072.0
2015-12-09,68.47,70.74,67.51,67.06,12084386.0,760181888.0
2015-12-08,66.84,72.8,69.28,66.33,23785820.0,1521506048.0
2015-12-07,63.66,67.97,67.75,63.66,20633684.0,1252381184.0
2015-12-04,64.12,66.27,63.25,61.95,15394170.0,909776448.0
2015-12-03,63.46,65.74,64.48,63.03,13069458.0,774658688.0
2015-12-02,64.63,65.75,63.62,60.34,14508976.0,838102400.0
2015-12-01,65.21,68.25,64.5,62.91,14521035.0,878160768.0
2015-11-30,69.54,70.82,66.27,62.82,20857980.0,1286861440.0
2015-11-27,72.6,75.7,68.48,67.71,20073740.0,1327619712.0
2015-11-26,70.17,76.3,74.67,67.5,28198612.0,1843978368.0
2015-11-25,69.56,73.91,70.28,69.23,18481598.0,1215674752.0
2015-11-24,68.25,70.06,69.88,68.05,16030318.0,1018246656.0
2015-11-23,69.56,72.28,67.98,67.59,33037876.0,2109383552.0
2015-11-20,76.09,79.66,75.1,75.1,33435388.0,2371623680.0
2015-11-19,70.1,75.5,75.5,68.47,34767928.0,2321336832.0
2015-11-18,70.64,71.19,68.63,66.93,26417350.0,1677932032.0
2015-11-17,69.54,74.78,72.69,68.12,45483772.0,2947580928.0
2015-11-16,69.25,69.25,69.25,66.9,51321528.0,3257506304.0
2015-11-13,62.96,62.96,62.96,62.96,920897.0,53347564.0
2015-11-12,57.23,57.23,57.23,57.23,467137.0,24599434.0
2015-11-11,52.03,52.03,52.03,52.03,342049.0,16373886.0
2015-11-10,47.3,47.3,47.3,47.3,368499.0,16037076.0
2015-11-09,43.0,43.0,43.0,43.0,3114147.0,123195656.0
2015-11-06,39.08,39.08,39.08,39.08,87308.0,3139596.0
2015-10-09,34.67,36.03,35.53,34.56,4713567.0,153740064.0
2015-10-08,35.13,35.67,34.95,34.47,5833040.0,188489600.0
2015-09-30,33.56,34.34,33.37,32.8,4100084.0,127287464.0
2015-09-29,32.07,34.32,33.45,32.03,6040966.0,185633920.0
2015-09-28,31.74,33.14,32.9,31.74,2916936.0,87269856.0
2015-09-25,33.26,33.54,31.94,31.52,5158574.0,154090960.0
2015-09-24,32.61,33.44,33.2,32.61,4948791.0,150942768.0
2015-09-23,32.4,33.44,32.51,32.18,4717841.0,142479392.0
2015-09-22,33.43,33.84,33.14,32.5,6894209.0,210944416.0
2015-09-21,30.98,33.68,33.49,30.58,7758153.0,231799136.0
2015-09-18,30.76,31.62,31.42,30.25,7165709.0,204950128.0
2015-09-17,30.76,32.29,30.44,29.89,10894278.0,313688544.0
2015-09-16,27.95,30.75,30.75,27.95,8955102.0,241822336.0
2015-09-15,30.43,30.76,27.95,27.95,10126527.0,269430752.0
2015-09-14,35.21,35.21,31.06,31.06,8923865.0,265566976.0
2015-09-11,33.96,35.14,34.51,33.89,7983796.0,253776048.0
2015-09-10,34.02,35.06,33.89,33.37,10043053.0,317636416.0
2015-09-09,33.2,35.52,35.11,32.43,23561420.0,731729088.0
2015-09-08,31.45,33.56,33.15,30.41,8638816.0,252918752.0
2015-09-07,34.91,37.16,31.57,31.33,19316304.0,583415744.0
2015-09-02,32.53,35.09,34.81,31.28,7201228.0,225182224.0
2015-09-01,36.42,36.5,33.17,33.16,5227401.0,165111632.0
2015-08-31,39.54,39.54,36.84,36.41,5513669.0,195368464.0
2015-08-28,36.94,39.55,39.54,36.41,7457616.0,257205248.0
2015-08-27,35.43,36.41,35.97,33.47,6963778.0,223848528.0
2015-08-26,36.08,37.28,33.56,32.17,8951194.0,289090400.0
2015-08-25,34.92,36.95,34.78,34.78,10254770.0,330996960.0
2015-08-24,40.75,42.39,38.64,38.64,10555277.0,378535008.0
2015-08-21,44.56,45.93,42.93,42.93,7254595.0,295932832.0
2015-08-20,47.28,50.0,46.47,44.19,8556665.0,376470528.0
2015-08-19,44.56,47.67,47.6,41.12,8217514.0,339195552.0
2015-08-18,48.75,49.96,45.0,45.0,8848211.0,387432928.0
2015-08-17,48.91,50.32,50.0,48.47,7577401.0,347412096.0
2015-08-14,48.91,49.34,48.26,47.6,6154269.0,272802976.0
2015-08-13,47.13,48.6,48.54,46.03,5232002.0,229146352.0
2015-08-12,47.75,49.33,47.77,47.51,5011809.0,223902704.0
2015-08-11,48.7,50.53,48.42,48.08,7653926.0,347601792.0
2015-08-10,46.6,49.66,48.96,46.13,7115471.0,315133504.0
2015-08-07,45.42,46.66,45.95,44.57,6087772.0,256992160.0
2015-08-06,43.5,45.63,44.34,43.12,4654186.0,190746640.0
2015-08-05,46.84,47.31,44.85,44.22,7607651.0,320795904.0
